,type,country,sex_,species_,fatal_(y/n),date,new_sex,new_type,year,age,new_age
351,Unprovoked,usa,M,unspecified,N,05-Oct-2015,M,Unprovoked,2015.0,13.0,13.0
352,Unprovoked,usa,M,unspecified,N,04-Oct-2015,M,Unprovoked,2015.0,14.0,14.0
353,Unprovoked,usa,M,unspecified,N,29-Sep-2015,M,Unprovoked,2015.0,22.0,22.0
354,Unprovoked,australia,F,unspecified,N,26-Sep-2015,F,Unprovoked,2015.0,7.0,7.0
355,Boating,usa,M,white_shark,N,24-Sep-2015,M,Boating,2015.0,27.6,27.32915451895044
356,Unprovoked,usa,M,unspecified,N,20-Sep-2015,M,Unprovoked,2015.0,14.0,14.0
357,Unprovoked,usa,M,tiger_shark,N,20-Sep-2015,M,Unprovoked,2015.0,27.0,27.0
358,Unprovoked,usa,M,unspecified,N,20-Sep-2015,M,Unprovoked,2015.0,12.0,12.0
359,Unprovoked,usa,M,unspecified,N,20-Sep-2015,M,Unprovoked,2015.0,16.0,16.0
360,Boating,usa,M,unspecified,N,19-Sep-2015,M,Boating,2015.0,27.6,27.32915451895044
361,Unprovoked,usa,M,unspecified,N,18-Sep-2015,M,Unprovoked,2015.0,27.6,27.32915451895044
362,Unprovoked,usa,M,unspecified,N,17-Sep-2015,M,Unprovoked,2015.0,20.0,20.0
363,Unprovoked,australia,M,unspecified,N,08-Sep-2015,M,Unprovoked,2015.0,42.0,42.0
364,Unprovoked,usa,F,white_shark,N,06-Sep-2015,F,Unprovoked,2015.0,50.0,50.0
365,Provoked,usa,M,unspecified,N,05-Sep-2015,M,Provoked,2015.0,29.0,29.0
366,Unprovoked,australia,M,white_shark,N,04-Sep-2015,M,Unprovoked,2015.0,62.0,62.0
367,Unprovoked,usa,M,unspecified,N,03-Sep-2015,M,Unprovoked,2015.0,27.6,27.32915451895044
368,Unprovoked,thailand,F,unspecified,N,01-Sep-2015,F,Unprovoked,2015.0,37.0,37.0
369,Unprovoked,fiji,M,tiger_shark,N,Sep-2015,M,Unprovoked,2015.0,27.6,27.32915451895044
370,Unprovoked,usa,F,white_shark,N,29-Aug-2015,F,Unprovoked,2015.0,54.0,54.0
371,Unprovoked,usa,M,white_shark,N,29-Aug-2015,M,Unprovoked,2015.0,21.0,21.0
372,Invalid,usa,M,unspecified,,22-Aug-2015,M,Invalid,2015.0,27.6,27.32915451895044
373,Unprovoked,australia,M,unspecified,N,22-Aug-2015,M,Unprovoked,2015.0,38.0,38.0
374,Unprovoked,usa,M,unspecified,N,20-Aug-2015,M,Unprovoked,2015.0,15.0,15.0
375,Unprovoked,usa,F,unspecified,N,19-Aug-2015,F,Unprovoked,2015.0,10.0,10.0
376,Boating,usa,M,white_shark,N,18-Aug-2015,M,Boating,2015.0,22.0,22.0
377,Invalid,spain,M,unspecified,,18-Aug-2015,M,Invalid,2015.0,10.0,10.0
378,Provoked,usa,M,unspecified,N,10-Aug-2015,M,Provoked,2015.0,57.0,57.0
379,Unprovoked,australia,M,white_shark,N,31-Jul-2015,M,Unprovoked,2015.0,52.0,52.0
380,Unprovoked,costa rica,M,unspecified,N,28-Jul-2015,M,Unprovoked,2015.0,47.0,47.0
