,year,type,country,sex_,age,species_,fatal_(y/n),date
5036,1930,Unprovoked,australia,M,19,unspecified,N,20-Feb-1930
5037,1930,Unprovoked,australia,M,18,white_shark,Y,15-Feb-1930
5038,1930,Provoked,australia,M,,unspecified,N,Reported 03-Feb-1930
5039,1930,Boating,mexico,,,unspecified,Y,22-Jan-1930
5040,1930,Unprovoked,south africa,M,23,white_shark,N,16-Jan-1930
5041,1930,Sea Disaster,mauritius,M,,unspecified,Y,Jan-1930
5042,1930,Unprovoked,okinawa,M,17,unspecified,N,1930
5043,1930,Unprovoked,south africa,M,,unspecified,Y,1930
5044,1929,Unprovoked,australia,M,16,tiger_shark,Y,26-Dec-1929
5045,1929,Unprovoked,australia,M,,unspecified,N,21-Dec-1929
5046,1929,Unprovoked,australia,F,17,unspecified,N,16-Dec-1929
5047,1929,Unprovoked,australia,M,,unspecified,N,13-Dec-1929
5048,1929,Unprovoked,,M,20,unspecified,Y,Reported 09-Dec-1929
5049,1929,Unprovoked,australia,M,50,unspecified,Y,Reported 03-Dec-1929
5050,1929,Sea Disaster,kiribati,M,,unspecified,Y,29-Nov-1929
5051,1929,Unprovoked,cuba,M,,unspecified,N,21-Nov-1929
5052,1929,Unprovoked,australia,M,,unspecified,N,20-Oct-1929
5053,1929,Unprovoked,spain,M,,unspecified,N,02-Oct-1929
5054,1929,Unprovoked,australia,M,42,unspecified,Y,01-Sep-1929
5055,1929,Unprovoked,usa,M,,unspecified,N,05-Aug-1929
5056,1929,Unprovoked,mexico,M,,unspecified,N,29-Jul-1929
5057,1929,Invalid,cape verde,F,,unspecified,,Reported 17-Jul-1929
5058,1929,Provoked,usa,M,,unspecified,N,23-Jun-1929
5059,1929,Unprovoked,australia,M,,unspecified,N,31-May-1929
5060,1929,Unprovoked,australia,M,,unspecified,N,Reported 26-Apr-1929
5061,1929,Unprovoked,australia,M,,unspecified,N,Reported 17-Apr-1929
5062,1929,Provoked,australia,M,19,grey_shark,N,11-Apr-1929
5063,1929,Unprovoked,australia,M,,unspecified,Y,09-Apr-1929
5064,1929,Unprovoked,australia,M,,unspecified,Y,04-Apr-1929
5065,1929,Unprovoked,usa,M,26,unspecified,N,16-Mar-1929
5066,1929,Unprovoked,australia,M,,unspecified,Y,12-Mar-1929
5067,1929,Unprovoked,australia,M,9,unspecified,N,04-Mar-1929
5068,1929,Unprovoked,australia,M,12,unspecified,N,04-Mar-1929
5069,1929,Unprovoked,australia,M,20,unspecified,Y,18-Feb-1929
5070,1929,Boating,australia,,,unspecified,N,09-Feb-1929
5071,1929,Unprovoked,australia,M,39,unspecified,Y,08-Feb-1929
5072,1929,Unprovoked,australia,M,,unspecified,Y,27-Jan-1929
5073,1929,Unprovoked,new zealand,F,,unspecified,N,14-Jan-1929
5074,1929,Unprovoked,australia,M,14,unspecified,Y,12-Jan-1929
5075,1929,Boating,turkey,M,,unspecified,Y,06-Jan-1929
5076,1929,Unprovoked,fiji,M,,unspecified,Y,05-Jan-1929
5077,1929,Invalid,australia,M,,unspecified,,Reported 1929
5078,1929,Provoked,australia,M,,unspecified,N,Ca. 1929
5079,1929,Provoked,usa,M,,unspecified,N,1929
5080,1929,Unprovoked,australia,M,,unspecified,N,1929
5081,1929,Unprovoked,usa,M,27,unspecified,N,1929
5082,1928,Unprovoked,australia,M,,unspecified,N,21-Dec-1928
5083,1928,Provoked,usa,M,,unspecified,N,18-Nov-1928
5084,1928,Boating,india,M,24,unspecified,N,Reported 15-Nov-1928
5085,1928,Sea Disaster,usa,M,,unspecified,Y,12-Nov-1928
5086,1928,Unprovoked,panama,M,17,unspecified,Y,04-Nov-1928
5087,1928,Unprovoked,usa,M,,unspecified,N,Sep-1928
5088,1928,Invalid,usa,M,,unspecified,,Reported 24-Aug-1928
5089,1928,Unprovoked,australia,M,,unspecified,N,11-Jul-1928
5090,1928,Provoked,italy,M,,white_shark,N,Late Jul-1928
5091,1928,Unprovoked,usa,M,,unspecified,N,Reported 24-Jun-1928
5092,1928,Invalid,india,M,,unspecified,,27-May-1928
5093,1928,Unprovoked,australia,M,,tiger_shark,N,Reported 14-Apr-1928
5094,1928,Unprovoked,australia,M,19,unspecified,N,14-Apr-1928
5095,1928,Unprovoked,jamaica,M,,unspecified,Y,09-Apr-1928
5096,1928,Unprovoked,australia,M,15,unspecified,N,06-Apr-1928
5097,1928,Unprovoked,australia,M,28,unspecified,Y,04-Apr-1928
5098,1928,Unprovoked,australia,M,,unspecified,N,Reported 28-Mar-1928
5099,1928,Unprovoked,australia,M,,unspecified,Y,20-Feb-1928
5100,1928,Unprovoked,costa rica,F,,unspecified,N,Feb-1928
5101,1928,Unprovoked,costa rica,M,,unspecified,N,Feb-1928
5102,1928,Unprovoked,australia,M,78,unspecified,Y,27-Jan-1928
5103,1928,Invalid,usa,,,unspecified,,21-Jan-1928
5104,1928,Invalid,usa,M,,unspecified,,Some time between 08-Jan-1928 & 21-Jan-1928
5105,1928,Unprovoked,south africa,F,,unspecified,N,02-Jan-1928
5106,1928,Unprovoked,south africa,M,18,unspecified,N,Jan-1928
5107,1928,Unprovoked,south africa,M,25,unspecified,N,1928
5108,1927,Unprovoked,south africa,M,17,white_shark,Y,28-Dec-1927
5109,1927,Sea Disaster,australia,,,unspecified,Y,03-Nov-1927
5110,1927,Sea Disaster,brazil,,,unspecified,Y,25-Oct-1927
5111,1927,Unprovoked,australia,M,,unspecified,N,12-Oct-1927
5112,1927,Unprovoked,fiji,M,,unspecified,N,Oct-1927
5113,1927,Boating,australia,,,unspecified,N,03-Jul-1927
5114,1927,Sea Disaster,philippines,,,unspecified,Y,29-May-1927
5115,1927,Unprovoked,australia,M,,unspecified,Y,Reported 09-May 1927
5116,1927,Unprovoked,australia,M,,unspecified,N,20-Apr-1927
5117,1927,Unprovoked,australia,M,,unspecified,N,08-Apr-1927
5118,1927,Unprovoked,australia,M,17,grey_shark,N,11-Mar-1927
5119,1927,Provoked,nicaragua,M,,unspecified,N,14-Feb-1927
