,year,type,country,sex_,age,species_,fatal_(y/n),date
1326,2007,Unprovoked,usa,F,Teen,9.5' shark?,N,16-Sep-2007
1327,2007,Unprovoked,usa,M,14,"Nurse shark, 2' to 3' ",N,13-Sep-2007
1328,2007,Unprovoked,usa,F,58,,N,08-Sep-2007
1329,2007,Unprovoked,usa,F,36,,N,05-Sep-2007
1330,2007,Unprovoked,usa,M,15,,N,04-Sep-2007
1331,2007,Unprovoked,usa,F,12,"18"" to 24"" shark",N,03-Sep-2007
1332,2007,Unprovoked,usa,M,58,Possibly a spinner shark,N,03-Sep-2007
1333,2007,Unprovoked,usa,M,15,"Tiger shark, 10' to 12' ",N,28-Aug-2007
1334,2007,Unprovoked,usa,M,24,"White shark, 12'",N,28-Aug-2007
1335,2007,Unprovoked,usa,M,54,3' shark,N,26-Aug-2007
1336,2007,Unprovoked,usa,M,27,3' shark,N,25-Aug-2007
1337,2007,Provoked,usa,M,,Sand shark,N,22-Aug-2007
1338,2007,Provoked,usa,M,,Sandtiger shark,N,20-Aug-2007
1339,2007,Unprovoked,usa,M,52,,N,19-Aug-2007
1340,2007,Unprovoked,usa,M,16,4' to 5' shark,N,19-Aug-2007
1341,2007,Unprovoked,usa,M,7,,N,19-Aug-2007
1342,2007,Unprovoked,usa,M,20,Possibly a 6' bull shark,N,15-Aug-2007
1343,2007,Unprovoked,usa,F,15, ,N,12-Aug-2007
1344,2007,Unprovoked,usa,M,19,,N,11-Aug-2007
1345,2007,Unprovoked,usa,M,30,,N,09-Aug-2007
1346,2007,Unprovoked,usa,M,9,,N,09-Aug-2007
1347,2007,Unprovoked,usa,F,19,Possibly a 10' bull shark,N,07-Aug-2007
1348,2007,Unprovoked,usa,M,51,,N,29-Jul-2007
1349,2007,Unprovoked,usa,M,20,,N,28-Jul-2007
1350,2007,Unprovoked,usa,M,,"White shark, 12' ",N,22-Jul-2007
1351,2007,Boating,usa,M,,White shark,N,21-Jul-2007
1352,2007,Unprovoked,usa,M,36, ,N,19-Jul-2007.b
1353,2007,Unprovoked,australia,M,15,"Bronze whaler shark, 1.5 m ",N,19-Jul-2007.a
1354,2007,Unprovoked,usa,M,14,2' to 3' shark,N,18-Jul-2007
1355,2007,Provoked,norway,M,48,"3' small spotted catshark, Scyliorhinus canicula",N,18-Jul-2007
1356,2007,Invalid,usa,F,43,Shark involvement not confirmed,,17-Jul-2007
1357,2007,Unprovoked,usa,F,30,5' shark,N,17-Jul-2007
1358,2007,Unprovoked,bahamas,F,48,"Bull shark, 5' ",N,10-Jul-2007
1359,2007,Unprovoked,usa,M,18,,N,05-Jul-2007
1360,2007,Unprovoked,reunion,M,17,2 m shark,N,04-Jul-2007
1361,2007,Invalid,senegal,,,Questionable Incident,,Jul-2007
1362,2007,Provoked,usa,M,,"Lemon shark, 6' female ",N,30-Jun-2007
1363,2007,Unprovoked,usa,F,,,N,30-Jun-2007
1364,2007,Unprovoked,usa,M,20,4' shark,N,25-Jun-2007
1365,2007,Unprovoked,usa,M,,Tiger shark,N,24-Jun-2007
1366,2007,Invalid,usa,F,9,Shark involvement not confirmed,,17-Jun-2007
1367,2007,Unprovoked,usa,F,,3' to 4' shark,N,12-Jun-2007
1368,2007,Unprovoked,australia,M,,,N,05-Jun-2007
1369,2007,Unprovoked,usa,F,,,N,26-May-2007
1370,2007,Provoked,usa,F,40,A 10-year-old 94-pound pregnant blacktip reef shark,N,24-May-2007
1371,2007,Provoked,england,M,38,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",N,Reported 17-May-2007
1372,2007,Unprovoked,australia,F,38,2.5 m shark,N,16-May-2007
1373,2007,Unprovoked,australia,M,19,10' shark,N,12-May-2007
1374,2007,Unprovoked,usa,F,21,4' to 5' shark,N,10-May-2007
1375,2007,Unprovoked,seychelles,M,,"White shark, 2m ",N,Reported 09-May-2007
1376,2007,Invalid,australia,M,45,Shark involvement prior to death was not confirmed,,08-May-2007
1377,2007,Unprovoked,usa,F,63,"Tiger shark, 14' ",N,07-May-2007
1378,2007,Unprovoked,usa,M,68,6' to 8' shark,N,07-May-2007
1379,2007,Sea Disaster,turks & caicos,,,,Y,04-May-2007
1380,2007,Provoked,bahamas,F,20,"Lemon shark, >1 m ",N,May-2007
1381,2007,Unprovoked,australia,F,13,"""a small shark""",N,26-Apr-2007
1382,2007,Unprovoked,usa,M,12,blacktip or spinner shark,N,22-Apr-2007
1383,2007,Unprovoked,usa,M,24,3' to 4' shark,N,20-Apr-2007
1384,2007,Boat,usa,,,"Bull shark, 10' ",N,Reported      13-Apr-2007
1385,2007,Unprovoked,new caledonia,M,26,Tiger shark,N,09-Apr-2007
1386,2007,Unprovoked,usa,M,7,,N,01-Apr-2007
1387,2007,Unprovoked,usa,M,27,3' shark,N,31-Mar-2007
1388,2007,Unprovoked,usa,M,9,,N,31-Mar-2007
1389,2007,Unprovoked,yemen,,,,Y,22-Mar-2007
1390,2007,Unprovoked,usa,M,11,4' to 5' shark,N,21-Mar-2007
1391,2007,Unprovoked,australia,F,42,1.5 m shark,N,20-Mar-2007
1392,2007,Provoked,usa,M,,5' shark,N,Reported 14-Mar-2007
1393,2007,Unprovoked,australia,F,59,2 to 2.5 m shark,N,12-Mar-2007
1394,2007,Unprovoked,usa,M,29,,N,11-Mar-2007
1395,2007,Provoked,new zealand,M,16,Tiger shark,N,Reported 05-Mar-2007
1396,2007,Invalid,costa rica,M,36,Shark involvement prior to death was not confirmed,,04-Feb-2007
1397,2007,Unprovoked,australia,M,26,,N,03-Feb-2007
1398,2007,Unprovoked,new caledonia,M,,,N,Feb-2007
1399,2007,Unprovoked,new caledonia,M,30,Tiger shark,N,25-Jan-2007
1400,2007,Boat,usa,,,14' shark,N,25-Jan-2007
1401,2007,Unprovoked,australia,M,41,"White shark, 3m",N,23-Jan-2007
1402,2007,Invalid,australia,M,20,Shark involvement prior to death was not confirmed,,19-Jan-2007
1403,2007,Unprovoked,south africa,M,24,Tiger shark,Y,14-Jan-2007
1404,2007,Unprovoked,australia,M,,2.4 m shark,N,09-Jan-2007
1405,2007,Invalid,usa,M,54,"24"" to 30"" shark",,07-Jan-2007
1406,2007,Unprovoked,usa,M,24,"6' to 8' shark, possibly a tiger shark",N,01-Jan-2007
1407,2006,Unprovoked,australia,M,25,2.5 to 3 m shark,N,18-Dec-2006
1408,2006,Unprovoked,new zealand,M,10,2 to 3 m shark,N,11-Dec-2006
1409,2006,Unprovoked,usa,M,43,"White shark, 12' to 15' ",N,10-Dec-2006
1410,2006,Provoked,south africa,M,25,"Raggedtooth shark, 150-kg",N,06-Dec-2006
1411,2006,Unprovoked,australia,M,15,"White shark, 5m ",N,02-Dec-2006
1412,2006,Sea Disaster,philippines,,,,Y,25-Nov-2006
1413,2006,Unprovoked,usa,M,29,2 m to 3 m shark,N,11-Nov-2006
1414,2006,Provoked,south africa,M,,"Bull shark, 1.5m ",N,09-Nov-2006
1415,2006,Unprovoked,usa,M,22,"White shark, 16' ",N,31-Oct-2006
1416,2006,Unprovoked,usa,M,15,,N,16-Oct-2006
1417,2006,Unprovoked,usa,M,20,,N,10-Oct-2006
1418,2006,Unprovoked,usa,M,,1' to 4' shark,N,07-Oct-2006
1419,2006,Unprovoked,usa,M,18,3' to 3.5' shark,N,05-Oct-2006
1420,2006,Unprovoked,bahamas,F,26,,N,Oct-2006
1421,2006,Unprovoked,gulf of aden,,,,Y,Oct-2006
1422,2006,Invalid,south africa,M,36,Invalid,,30-Sep-2006
1423,2006,Unprovoked,usa,M,19,,N,29-Sep-2006
1424,2006,Provoked,usa,M,,Nurse shark,N,Reported 18-Sep-2006
1425,2006,Unprovoked,usa,M,16,,N,16-Sep-2006
1426,2006,Unprovoked,usa,M,55,Spinner shark,N,14-Sep-2006
1427,2006,Unprovoked,usa,M,52,5' shark,N,11-Sep-2006
1428,2006,Invalid,australia,M,44,No shark involvement,,04-Sep-2006
1429,2006,Unprovoked,brazil,M,20,,Y,03-Sep-2006
1430,2006,Unprovoked,usa,M,33,3' shark,N,03-Sep-2006
1431,2006,Unprovoked,usa,M,12 or 13,,N,02-Sep-2006
1432,2006,Unprovoked,usa,M,23,,N,29-Aug-2006
1433,2006,Unprovoked,australia,M,,"Bronze whaler shark, 6'",N,29-Aug-2006
1434,2006,Unprovoked,reunion,M,27,,N,27-Aug-2006
1435,2006,Invalid,brazil,M,17,Shark involvement prior to death was not confirmed,,22-Aug-2006
1436,2006,Invalid,belize,M,34,Shark involvement prior to death was not confirmed,,22-Aug-2006
1437,2006,Sea Disaster,italy,M,,,Y,20-Aug-2006
1438,2006,Unprovoked,reunion,M,34,,Y,20-Aug-2006
1439,2006,Unprovoked,south africa,M,,5 m shark,N,15-Aug-2006
1440,2006,Unprovoked,south africa,M,24,White shark,N,13-Aug-2006
1441,2006,Unprovoked,usa,F,59,,N,Aug-2006
1442,2006,Unprovoked,reunion,M,,"Bull shark, 1.5m ",N,Early Aug-2006
1443,2006,Provoked,usa,,,small catsharks,N,31-Jul-2006
1444,2006,Unprovoked,usa,M,41,White shark?,N,31-Jul-2006
1445,2006,Invalid,usa,M,,"Thought to involve a mako shark, but possibly a sea lion",N,29-Jul-2006
1446,2006,Unprovoked,usa,M,15,,N,29-Jul-2006
1447,2006,Unprovoked,south africa,M,19,"White shark, 3m to 4m",N,28-Jul-2006
1448,2006,Unprovoked,usa,M,14, ,N,25-Jul-2006
1449,2006,Unprovoked,usa,M,,"Bull shark, 4' to 5' ",N,23-Jul-2006
1450,2006,Invalid,australia,,,Shark involvement prior to death was not confirmed,,Reported 17-Jul-2006
1451,2006,Unprovoked,usa,M,49,"Angel shark, 1.2m ",N,17-Jul-2006
1452,2006,Invalid,spain,F,7,"Shark involvement not confirmed, injury may have been caused by a bluefish",,13-Jul-2006
1453,2006,Unprovoked,usa,F,21,,N,12-Jul-2006
1454,2006,Unprovoked,brazil,M,,Bull or tiger shark,Y,10-Jul-2006
1455,2006,Unprovoked,usa,M,40,,N,09-Jul-2006
